well,group,viability_pct
A1,A,4.0
B1,A,2.7
C1,A,0.4
D1,A,0.7
E1,A,4.4
F1,A,5.3
G1,A,2.9
H1,A,0.4
A2,B,4.4
B2,B,5.7
C2,B,5.3
D2,B,7.6
E2,B,8.9
F2,B,6.9
G2,B,6.9
H2,B,3.1
A3,C,12.8
B3,C,9.2
C3,C,13.0
D3,C,13.3
E3,C,16.4
F3,C,16.0
G3,C,16.5
H3,C,14.1
A4,D,18.9
B4,D,25.1
C4,D,26.0
D4,D,23.9
E4,D,26.0
F4,D,23.0
G4,D,23.6
H4,D,
A5,E,38.8
B5,E,35.7
C5,E,36.5
D5,E,38.6
E5,E,40.4
F5,E,37.0
G5,E,38.0
H5,E,38.9
A6,F,60.1
B6,F,62.2
C6,F,59.5
D6,F,58.5
E6,F,57.7
F6,F,58.0
G6,F,59.0
H6,F,60.0
A7,G,68.9
B7,G,74.5
C7,G,74.6
D7,G,69.4
E7,G,74.6
F7,G,75.7
G7,G,74.0
H7,G,73.3
A8,H,79.6
B8,H,84.7
C8,H,87.8
D8,H,83.5
E8,H,85.6
F8,H,86.9
G8,H,87.0
H8,H,87.2
A9,I,92.6
B9,I,95.5
C9,I,96.4
D9,I,
E9,I,92.6
F9,I,93.7
G9,I,91.6
H9,I,95.2
A10,J,95.1
B10,J,97.8
C10,J,98.3
D10,J,91.2
E10,J,100.9
F10,J,97.0
G10,J,93.4
H10,J,95.5
A11,VEH,99.5
B11,VEH,98.2
C11,VEH,98.7
D11,VEH,98.1
E11,VEH,100.2
F11,VEH,101.3
G11,VEH,100.8
H11,VEH,102.5
A12,BLANK,1.7
B12,BLANK,1.8
C12,BLANK,46.8
D12,BLANK,1.1
E12,BLANK,2.3
F12,BLANK,2.0
G12,BLANK,2.2
H12,BLANK,1.2
