sample_id,well,cell_count,viability_pct,fluorescence_au
S01,A1,5846,89.4,1396.2
S02,B1,5100,84.8,1203.2
S03,C1,5430,93.2,1378.0
S04,D1,5081,91.7,1229.7
S05,E1,4923,94.4,
S06,F1,5563,90.2,1139.2
S07,G1,4951,89.1,1110.6
S08,H1,4368,92.3,1238.8
S09,A2,4989,92.3,1321.4
S10,B2,5322,91.2,1418.1
S11,C2,4383,92.2,1339.4
S12,D2,5100,96.7,1164.1
S13,E2,5267,97.2,9840.0
S14,F2,4442,92.6,1203.4
S15,G2,4620,85.5,1238.0
S16,H2,4683,89.5,1324.4
S17,A3,4625,95.5,1221.2
S18,B3,5159,,1294.8
S19,C3,4878,96.7,1275.9
S20,D3,5210,92.0,1168.5
S21,E3,5137,90.3,1309.9
S22,F3,4378,89.8,1433.2
S23,G3,4756,93.5,1211.8
S24,H3,5438,90.2,1180.1
S25,A4,4872,95.8,1181.6
S26,B4,5369,90.7,1168.7
S27,C4,5414,91.5,55.0
S28,D4,5516,90.3,1110.1
S29,E4,5179,93.6,1181.4
S30,F4,5140,91.3,1242.2
S31,G4,5292,90.6,1060.0
S32,H4,5722,92.5,1200.7
S33,A5,5578,91.5,1239.7
S34,B5,5792,89.5,1265.3
S35,C5,5382,82.7,
S36,D5,5624,94.6,1315.1
S37,E5,5677,89.5,1340.0
S38,F5,4703,100.9,1229.3
S39,G5,4786,83.7,1332.5
S40,H5,5465,91.9,1263.2
S41,A6,6049,93.0,1243.2
S42,B6,5159,96.8,1444.5
S43,C6,5347,99.7,1274.9
S44,D6,5480,88.5,1340.6
S45,E6,5732,85.2,1188.4
S46,F6,5050,89.9,1212.9
S47,G6,5093,92.5,1282.1
S48,H6,5474,94.1,1207.2
